Date,Abap,Ada,C/C++,C#,Cobol,Dart,Delphi,Go,Groovy,Haskell,Julia,Kotlin,Java,Javascript,Lua,Matlab,Objective-C,Perl,PHP,Python,R,Ruby,Rust,Scala,Swift,TypeScript,VBA,Visual Basic
July 2004,0.36,0.38,9.969999999999999,4.859999999999999,0.44,0,2.8899999999999997,0,0.03,0.22999999999999998,0,0,29.25,8.9,0.16999999999999998,2.18,0.2,7.580000000000001,18.77,2.6,0.4,0.35000000000000003,0.08,0.03,0,0,1.49,8.84
August 2004,0.37,0.38,9.65,5.2,0.48,0,2.78,0,0.06999999999999999,0.21,0,0,28.96,8.91,0.16,2.1399999999999997,0.19,7.430000000000001,18.88,2.75,0.42,0.41000000000000003,0.1,0.03,0,0,1.52,8.959999999999999
September 2004,0.43,0.43,9.46,5.29,0.53,0,2.77,0,0.08,0.22,0,0,28.749999999999996,8.85,0.2,2.22,0.21,7.359999999999999,18.93,2.8400000000000003,0.42,0.43,0.11,0.03,0,0,1.6199999999999999,8.82
October 2004,0.42,0.38999999999999996,9.16,5.43,0.5499999999999999,0,2.8400000000000003,0,0.09,0.21,0,0,28.98,8.540000000000001,0.22999999999999998,2.3,0.21,7.35,18.92,2.9899999999999998,0.43,0.47000000000000003,0.12,0.04,0,0,1.6500000000000001,8.7
November 2004,0.38999999999999996,0.38999999999999996,9.370000000000001,5.4,0.5700000000000001,0,2.85,0,0.08,0.25,0,0,29.04,8.55,0.24,2.29,0.22999999999999998,7.28,19.02,2.93,0.43,0.45999999999999996,0.13999999999999999,0.04,0,0,1.55,8.5
December 2004,0.37,0.38,9.35,5.38,0.5499999999999999,0,2.86,0,0.09,0.22,0,0,29.59,8.540000000000001,0.22,2.21,0.21,7.2700000000000005,19.139999999999997,2.79,0.41000000000000003,0.43,0.13,0.04,0,0,1.5,8.32
January 2005,0.4,0.4,9.45,5.37,0.58,0,2.73,0,0.11,0.22,0,0,29.470000000000002,8.42,0.25,2.2800000000000002,0.2,7.19,19.34,2.9899999999999998,0.4,0.48,0.16,0.03,0,0,1.55,8
February 2005,0.38,0.41000000000000003,9.53,5.3100000000000005,0.51,0,2.73,0,0.08,0.22,0,0,30,8.200000000000001,0.26,2.37,0.19,7.08,19.439999999999998,2.94,0.38999999999999996,0.45999999999999996,0.15,0.03,0,0,1.48,7.84
March 2005,0.35000000000000003,0.37,9.69,5.45,0.45999999999999996,0,2.69,0,0.08,0.24,0,0,30.29,8,0.22999999999999998,2.39,0.16,6.959999999999999,19.5,2.8400000000000003,0.43,0.47000000000000003,0.13,0.03,0,0,1.46,7.779999999999999
April 2005,0.33999999999999997,0.37,9.89,5.53,0.42,0,2.6100000000000003,0,0.08,0.22999999999999998,0,0,30.409999999999997,8.1,0.22999999999999998,2.26,0.13,6.87,19.66,2.8400000000000003,0.41000000000000003,0.44,0.11,0.02,0,0,1.38,7.68
May 2005,0.35000000000000003,0.37,9.66,5.63,0.4,0,2.5,0,0.09,0.22999999999999998,0,0,30.55,8.21,0.22999999999999998,2.23,0.12,6.76,19.67,2.88,0.41000000000000003,0.47000000000000003,0.09,0.02,0,0,1.46,7.670000000000001
June 2005,0.35000000000000003,0.36,9.5,5.7700000000000005,0.4,0,2.44,0,0.08,0.22999999999999998,0,0,30.43,8.08,0.24,2.2800000000000002,0.12,6.569999999999999,20,2.9499999999999997,0.41000000000000003,0.54,0.1,0.01,0,0,1.55,7.580000000000001
July 2005,0.33,0.33999999999999997,9.43,6.16,0.38999999999999996,0,2.5,0,0.08,0.24,0,0,30.53,8.08,0.21,2.27,0.12,6.45,19.66,2.97,0.44,0.61,0.11,0.01,0,0,1.58,7.5
August 2005,0.32,0.3,9.25,6.1899999999999995,0.4,0,2.36,0,0.09,0.24,0,0,30.29,8.24,0.21,2.13,0.11,6.569999999999999,19.8,3.15,0.44,0.66,0.12,0.02,0,0,1.6199999999999999,7.470000000000001
September 2005,0.36,0.29,9.13,6.21,0.4,0,2.33,0,0.08,0.22,0,0,30.159999999999997,8.42,0.26,2.0500000000000003,0.12,6.619999999999999,19.73,3.3000000000000003,0.44999999999999996,0.79,0.18,0.01,0,0,1.6,7.31
October 2005,0.37,0.3,9.06,6.13,0.44,0,2.4,0,0.08,0.24,0,0,30.099999999999998,8.43,0.27,2.15,0.13999999999999999,6.52,19.57,3.42,0.48,0.9299999999999999,0.16,0.01,0,0,1.67,7.12
November 2005,0.38,0.27999999999999997,8.98,6.3100000000000005,0.44,0,2.45,0,0.06999999999999999,0.25,0,0,29.970000000000002,8.309999999999999,0.3,2.26,0.13,6.529999999999999,19.42,3.62,0.5,1.09,0.16999999999999998,0.01,0,0,1.6400000000000001,6.9
December 2005,0.38,0.27,9.09,6.43,0.47000000000000003,0,2.41,0,0.08,0.26,0,0,29.78,8.27,0.32,2.31,0.11,6.4799999999999995,19.16,3.83,0.52,1.21,0.16,0.01,0,0,1.63,6.81
January 2006,0.4,0.27999999999999997,8.93,6.18,0.44,0,2.35,0,0.09,0.26,0,0,30.14,8.33,0.33999999999999997,2.2800000000000002,0.11,6.260000000000001,19.3,3.9,0.5,1.35,0.15,0.02,0,0,1.58,6.79
February 2006,0.4,0.31,8.86,6.260000000000001,0.5,0,2.45,0,0.08,0.29,0,0,30.270000000000003,8.14,0.37,2.37,0.13,6.02,19.12,3.8899999999999997,0.5499999999999999,1.5599999999999998,0.13999999999999999,0.02,0,0,1.6400000000000001,6.63
